1,Ресторан Venner,"Ждановичский сельсовет, 83",+375445070000,"
«VENNER» – место, где время и пространство соединены в гармонии с природой и современной архитектурой. Здесь каждый гость может получить настоящее гастрономическое и эстетическое удовольствие! Приготовление блюда в ресторане начинается уже с момента рождения продукта, в каких условиях оно выращено и какая энергия вложена.",true
2,Тимохин двор,"ул. Притыцкого, 74, Минск",+375291351025,"
Тимохин Двор — уютное кафе белорусской кухни, где каждый гость может познакомиться с настоящими белорусскими традициями. Здесь действительно богатое разнообразие блюд, которые удивят гостей своим неповторимым вкусом. От настоящих драников, приготовленных по старинному рецепту, до ароматного борща и вкусной скоблянки. Переступая порог кафе, гость сразу окунается в современную белорусскую атмосферу. Теплые тона зала, деревянные стены, мягкий текстиль, 3D панели из массива на стенах и колоннах — здесь почти все изготовлено под заказ и сразу же создает настроение спокойствия, умиротворённости и ощущение того, что в «Тимохин двор» хочется остаться подольше. Особенностью заведения является печь на дровах — у гостей есть возможность понаблюдать через витрины, как повар готовит в печи для них еду.",false
3,Ресторан 101,"ул. Городской вал, 12/1, Минск",+375293473101,"
Аутентичный ""Ресторан 101"" находится в здании первой пожарной части Минска 1885 года. Барная стойка — это старый пожарный ЗИЛ. Интерьер заведения стилизован под предметы пожарного дела. Например, только здесь пиво наливают из огнетушителей. Форма официантов также соответствует концепции заведения — погоны, аксельбанты и береты.",true
4,The Dickens,"ул. Я.Коласа, 19, Минск",+375447991919,"
Лаундж-бар The Dickens это эстетика традиционного английского замка, гармонично сочетающая в себе прошлое и современность. Массивное дерево, изящная лепнина, аутентичный камин, оригинальные картины, трофейные головы зверей, кинжалы - всё это подчеркивает обстановку незабываемой эпохи и располагает к приятному отдыху.",false
5,Clever Irish Pub,"ул. Гикало, 5, Минск",+375291092222,"
Clever Irish Pub - место, куда приходят расслабиться и отдохнуть с бокалом любимого пива. Этот паб оценят по достоинству любители вкусно и сытно поесть в приятной дружеской атмосфере.",false
6,Ресторан Рыбное место,"д. Боровая, 1 (БЦ ""Аквабел""), Минский район",+375445118811,"
“РЫБНОЕ МЕСТО” - рыбный ресторан, где все понятно, вкусно и доступно Здесь можно быстро забыть о суете города и оказаться в тихом уютном месте, где ценят очарование блюд и вкус свежей рыбы. Большой выбор морепродуктов. Кухня авторская. Хорошая винотека. Вино по цене полки магазина. Для маленьких посетителей уютный детский уголок и детское меню.",true
7,БАР RED HEAD,"ул. Интернациональная, 25А, Минск",+375445917030,"
Концептуальный бар с живой музыкой, авторскими коктейлями в центре столицы.",false
8,Кафе КРИПТА,"ул. Толбухина, 18/2, Минск",+375296241414,"
Кафе «КРИПТА» — это стильное и уютное лаунж-кафе, где можно отвлечься от повседневности и приятно провести время. Непринужденная обстановка, внимательный персонал, тихая фоновая музыка, вкусная кухня, контактная барная стойка и кальяны — здесь есть все необходимое для хорошего отдыха.В меню кафе «КРИПТА» — европейская и азиатская кухня с авторскими дополнениями. Немаловажная роль здесь также уделяется сохранению всех полезных веществ в продукте, именно поэтому в кафе можно встретить блюда, приготовленные методом су-вид, на пару и на гриле.",false
9,Ресторан Княжеский двор,"Гродненская обл, Кореличский р-н, г.п. Мир, ул.Красноармейская, 2",+375447082082,"
Наш ресторан белорусской кухни находится во дворике Мирского замка. Значительную часть национальной белорусской кухни составляют блюда из тертого картофеля драники, клецки, колдуны. Среди широко распространенных мясных блюд популярен бигос, мачанка, рулька. Все эти блюда вы можете испробовать в нашем ресторане.",true
10,Ресторан Чумацький Шлях,"ул. Мясникова, 34, Минск",+375291907777,"
Ресторан ""Чумацький Шлях"" предлагает насладиться яркими шедеврами национальной белорусско-украинской кухни! По-домашнему уютная атмосфера, располагающий интерьер в стиле ""деревенской хаты"", доброжелательный персонал, внимательный сервис и профессиональное обслуживание — здесь приятно отвлечься от городской суеты и хорошо провести время в компании близких.",true
11,Ресторан Тифлисъ,"ул. Толбухина, 3, Минск",+375445555050,"
Ресторан домашней грузинской кухни.",true
12,CATCH,"ул. Мясникова, 25, Минск",+375291636000,"
""Catch the moment: have a taste"" Премиальные кальяны, изысканные блюда с морепродуктами, сочные стейки, живая музыка, зажигательное караоке и громкие безбашенные вечеринки, а может просто неспешный кофе брейк на террасе с видом на Немигу? Теперь не нужно выбирать, ведь всю многогранность выбора обеспечат три зала ресторана Catch. Что все это объединяет? Неизменно теплая забота о гостях, а также совершенствование, чтобы заслуженно быть для гостей любимым местом города.",false
13,Робинсон-сити,"ул. Зыбицкая, 4, Минск",+375291614444,"
Ресторан «Robinson-City» расположен в самом сердце Минска, в его историко-культурном центре, по адресу Зыбицкая, 4.Интерьер ресторана покорит даже самого требовательного гостя: лаконичный и в то же время изысканный дизайн с элементами современной классики. Сдержанная цветовая гамма настраивает на приятное времяпровождение, а меню точно позволит сделать вечер незабываемым.",false
14,Дринкерия,"ул. Революционная, 17, Минск",+375296602288,"
Бар, где можно насладится дальневосточными и французскими устрицами, морской гастрономией и не только, фирменными настойками и коктейлями, а также отличной винной картой. Открытая кухня, уютный зал в стиле лофт и десятки рецептов.",false
15,Morella,"ул. Сухая, 2, Минск",+375296440464,"
Ресторан «Morella» — это кусочек Средиземноморья в центре столицы. Атмосфера ресторана влюбляет в себя любого гостя с первой минуты. Это место идеально подходит для любого события, а персонал сделает так, чтобы гости его никогда не забыли. В меню можно найти не только традиционные изыски Италии и Испании, но и известные всем классические блюда.",false
16,Кафе Балкон,"ул. Бобруйская, 6 (ТРЦ ""Galileo"", 5 этаж), Минск",+375447098888,"
«Балкон» — городское кафе с азиатской кухней и панорамным видом на Привокзальную площадь. В кафе оборудована открытая летняя терраса, пожалуй, единственная в своем роде среди заведений, расположенных в торговых центрах, и контактная барная стойка. «Балкон» понравится и тем, кто проголодался во время шопинга, и тем, кто любит азиатскую кухню с авторским видением. Интерьер кафе «Балкон» оформлен в современном стиле с японскими мотивами. В декоре преобладают сочные цвета, лаконичность форм и максимальная открытость пространства. Завершающие штрихи — дизайнерская униформа-кимоно и посуда, а вот главное украшение заведения — панорамный вид на Привокзальную площадь и стеклянный потолок, благодаря которому можно наблюдать за природными явлениями.",false
17,Ресторан-пивоварня ДРУЗЬЯ,"ул. Кульман, 40, Минск",+375293965858,"
Ресторан-пивоварня «ДРУЗЬЯ» – это один из крупнейших ресторанов в мире. Каждый день здесь отдыхает до 2000 гостей, выпивается более 500 л пива, прослушивается около 4ч живой музыки.",true
18,Ресторан паназиатской кухни ZEN,"ул. Немига, 5, Минск",+375293734444,"
Ресторан паназиатской кухни ZEN - настоящий фьюжн, который соединил в себе гастрономические традиции стран Азии. Процесс приготовления осуществляется в формате Open Kitchen – большая картина личного взаимодействия кухни с гостем и полное погружение в процесс его создания. Это тот момент, когда все сходится в единое гармоничное целое, переплетая между собой мощную энергию, тишину и спокойствие.",true
19,ГАСТРОПАБ БрендОК NP,"ул. Сухаревская, 33, Минск",+375296242578,"
ГАСТРОПАБ БрендОК NP - это уютный гастропаб, где гости смогут насладится не только вкусными блюдами и пенными напитками, но и провести время в приятной компании, наслаждаясь общением и атмосферой заведения.",false
20,Одесса мама,"ул. Революционная, 26, Минск",+375293210601,"
Нормальное городское кафе с ненормально вкусной одесской едой.",false
21,Gastropub DROVA,"ул. Богдана Хмельницкого, 10А, Минск",+375291094040,"
Gastropub DROVA (Гастропаб Дрова) — это уютное городское кафе в центре города с современным интерьером. Формат заведения подразумевает легкость, демократичность и динамичность. Обстановка непринужденная и уютная, здесь легко получается отвлечься от повседневных забот, ощутить ритм жизни и расслабиться. Кафе подходит для встреч с друзьями, семейных ужинов, а также это отличное место для организации праздничного мероприятия.",false
